order_no,mem_no,order_date,channel_code,shop_code,product_code,sales_amt
175,1000018,2020-02-09,1,10,357,19000
176,1000019,2020-02-09,1,5,370,14000
177,1000059,2020-02-09,1,18,614,289000
178,1000066,2020-02-09,1,24,639,462000
179,1000671,2020-02-09,1,14,629,155000
180,1000672,2020-02-09,1,12,370,14000
181,1000712,2020-02-09,1,14,527,8000
182,1000719,2020-02-09,1,8,623,75000
183,1000756,2020-02-09,1,29,629,155000
184,1000757,2020-02-09,2,37,614,289000
185,1000797,2020-02-09,1,8,353,14000
186,1000804,2020-02-09,1,24,170,8000
187,1000018,2020-02-10,1,10,243,48000
188,1000019,2020-02-10,1,34,644,98000
189,1000020,2020-02-10,1,6,75,100000
190,1000059,2020-02-10,1,6,152,3000
191,1000066,2020-02-10,1,9,89,12000
192,1000672,2020-02-10,1,15,455,21000
193,1000673,2020-02-10,1,13,629,155000
194,1000712,2020-02-10,1,24,158,4000
195,1000719,2020-02-10,1,29,455,21000
196,1000757,2020-02-10,1,31,629,155000
197,1000758,2020-02-10,2,38,306,52700
198,1000797,2020-02-10,1,25,565,7000
199,1000804,2020-02-10,1,33,352,12000
200,1000019,2020-02-11,1,14,530,11000
201,1000020,2020-02-11,2,37,558,4000
202,1000021,2020-02-11,1,7,494,17000
203,1000059,2020-02-11,1,24,475,5000
204,1000066,2020-02-11,1,31,596,48000
205,1000673,2020-02-11,1,25,639,462000
206,1000674,2020-02-11,1,14,455,21000
207,1000758,2020-02-11,1,32,457,31000
208,1000759,2020-02-11,1,26,352,12000
209,1000011,2020-02-12,2,17,158,4000
210,1000015,2020-02-12,1,30,631,223000
211,1000015,2020-02-12,1,27,530,11000
212,1000020,2020-02-12,1,13,557,4000
213,1000021,2020-02-12,1,23,494,17000
214,1000022,2020-02-12,1,8,170,8000
215,1000655,2020-02-12,1,17,144,48000
216,1000674,2020-02-12,1,11,565,7000
217,1000675,2020-02-12,1,21,62,41000
218,1000740,2020-02-12,2,37,352,12000
219,1000759,2020-02-12,1,33,152,3000
220,1000760,2020-02-12,4,40,457,31000
225,1000021,2020-02-13,1,15,83,7000
226,1000022,2020-02-13,1,21,644,98000
227,1000655,2020-02-13,1,4,353,14000
228,1000675,2020-02-13,1,21,352,12000
229,1000740,2020-02-13,1,7,565,7000
230,1000760,2020-02-13,1,34,455,21000
231,1000009,2020-02-14,1,30,631,223000
232,1000013,2020-02-14,2,37,158,4000
233,1000022,2020-02-14,1,12,533,13000
234,1000067,2020-02-14,1,23,580,15000
235,1000657,2020-02-14,1,20,614,289000
236,1000720,2020-02-14,1,15,158,4000
237,1000742,2020-02-14,1,19,95,37000
238,1000805,2020-02-14,1,25,361,28000
246,1000007,2020-02-15,1,27,530,11000
247,1000016,2020-02-15,2,17,158,4000
248,1000067,2020-02-15,1,25,565,7000
249,1000168,2020-02-15,1,19,370,14000
250,1000209,2020-02-15,1,22,370,14000
251,1000279,2020-02-15,1,33,455,21000
252,1000320,2020-02-15,1,17,637,385000
253,1000390,2020-02-15,1,6,561,5000
254,1000431,2020-02-15,1,20,637,385000
255,1000501,2020-02-15,1,7,558,4000
256,1000542,2020-02-15,1,2,172,10000
257,1000612,2020-02-15,1,20,518,5000
258,1000653,2020-02-15,1,19,561,5000
259,1000657,2020-02-15,1,3,639,462000
260,1000720,2020-02-15,1,27,145,2000
261,1000742,2020-02-15,1,14,561,5000
262,1000805,2020-02-15,1,35,644,98000
267,1000006,2020-02-16,1,33,561,5000
268,1000067,2020-02-16,1,30,316,3600
269,1000168,2020-02-16,1,21,455,21000
270,1000209,2020-02-16,1,18,518,5000
271,1000279,2020-02-16,1,22,170,8000
272,1000320,2020-02-16,1,4,455,21000
273,1000390,2020-02-16,1,15,89,12000
274,1000431,2020-02-16,1,6,357,19000
275,1000501,2020-02-16,1,1,629,155000
276,1000542,2020-02-16,1,31,637,385000
277,1000612,2020-02-16,1,29,62,41000
278,1000653,2020-02-16,1,35,158,4000
279,1000659,2020-02-16,1,24,523,7000
280,1000744,2020-02-16,1,20,614,289000
281,1000006,2020-02-17,1,32,145,2000
282,1000168,2020-02-17,1,25,641,50000
283,1000209,2020-02-17,1,31,288,22300
284,1000279,2020-02-17,1,24,325,8900
285,1000320,2020-02-17,1,17,419,59000
286,1000390,2020-02-17,1,13,119,9000
287,1000431,2020-02-17,1,1,221,14000
288,1000501,2020-02-17,1,24,465,77000
289,1000659,2020-02-17,1,7,349,14000
290,1000744,2020-02-17,1,15,177,13000
291,1000006,2020-02-18,1,3,509,2000
292,1000008,2020-02-18,1,35,561,5000
293,1000661,2020-02-18,1,2,158,4000
294,1000746,2020-02-18,1,30,561,5000
299,1000008,2020-02-19,1,8,370,14000
300,1000068,2020-02-19,1,25,560,5000
301,1000167,2020-02-19,1,3,370,14000
302,1000208,2020-02-19,1,15,112,5000
303,1000278,2020-02-19,1,31,136,27000
304,1000319,2020-02-19,1,16,158,4000
305,1000389,2020-02-19,1,17,158,4000
306,1000430,2020-02-19,3,36,623,75000
307,1000500,2020-02-19,1,6,144,48000
308,1000541,2020-02-19,1,3,523,7000
309,1000611,2020-02-19,1,18,62,41000
310,1000652,2020-02-19,1,2,640,555000
311,1000661,2020-02-19,1,6,170,8000
312,1000721,2020-02-19,1,14,370,14000
313,1000746,2020-02-19,1,7,561,5000
314,1000806,2020-02-19,1,13,370,14000
319,1000008,2020-02-20,1,1,345,62800
320,1000010,2020-02-20,2,37,352,12000
321,1000068,2020-02-20,1,8,565,7000
322,1000167,2020-02-20,1,20,603,2700
323,1000208,2020-02-20,1,4,518,5000
324,1000278,2020-02-20,1,24,170,8000
325,1000319,2020-02-20,1,3,455,21000
326,1000389,2020-02-20,1,30,533,13000
327,1000430,2020-02-20,1,5,487,9000
328,1000500,2020-02-20,1,33,565,7000
329,1000541,2020-02-20,1,6,177,13000
330,1000611,2020-02-20,1,9,534,15000
331,1000652,2020-02-20,1,10,505,43000
332,1000663,2020-02-20,1,3,170,8000
333,1000721,2020-02-20,2,1,352,12000
334,1000748,2020-02-20,1,32,527,8000
335,1000806,2020-02-20,1,14,95,37000
344,1000006,2020-02-21,2,6,158,4000
345,1000008,2020-02-21,1,30,631,223000
346,1000010,2020-02-21,1,16,370,14000
347,1000068,2020-02-21,1,11,210,6000
348,1000167,2020-02-21,1,26,473,4000
349,1000208,2020-02-21,1,29,245,52000
350,1000278,2020-02-21,1,23,410,34000
351,1000319,2020-02-21,1,18,203,4000
352,1000389,2020-02-21,1,12,541,24000
353,1000430,2020-02-21,1,25,275,4300
354,1000500,2020-02-21,1,13,51,8000
355,1000663,2020-02-21,1,21,89,12000
356,1000748,2020-02-21,1,17,527,8000
365,1000010,2020-02-22,1,4,360,26000
366,1000012,2020-02-22,2,38,158,4000
367,1000665,2020-02-22,1,6,370,14000
368,1000750,2020-02-22,1,33,62,41000
377,1000012,2020-02-23,1,24,306,52700
378,1000166,2020-02-23,1,4,370,14000
379,1000207,2020-02-23,1,35,518,5000
380,1000277,2020-02-23,1,30,91,18000
381,1000318,2020-02-23,1,34,370,14000
382,1000388,2020-02-23,1,3,527,8000
383,1000429,2020-02-23,1,19,392,40000
384,1000499,2020-02-23,1,5,518,5000
385,1000540,2020-02-23,4,39,637,385000
386,1000610,2020-02-23,1,17,457,31000
387,1000651,2020-02-23,1,14,349,14000
388,1000665,2020-02-23,1,13,527,8000
389,1000750,2020-02-23,1,22,361,28000
394,1000012,2020-02-24,1,2,205,5000
395,1000014,2020-02-24,1,1,170,8000
396,1000069,2020-02-24,2,37,370,14000
397,1000166,2020-02-24,1,23,603,2700
398,1000207,2020-02-24,2,38,357,19000
399,1000277,2020-02-24,1,8,457,31000
400,1000318,2020-02-24,4,40,370,14000
401,1000388,2020-02-24,1,29,533,13000
402,1000429,2020-02-24,1,2,614,289000
403,1000499,2020-02-24,1,34,144,48000
404,1000540,2020-02-24,1,29,561,5000
405,1000610,2020-02-24,1,26,370,14000
406,1000651,2020-02-24,1,22,600,1400
407,1000667,2020-02-24,1,5,145,2000
408,1000722,2020-02-24,1,16,523,7000
409,1000752,2020-02-24,1,34,518,5000
410,1000807,2020-02-24,1,26,306,52700
418,1000014,2020-02-25,1,9,637,385000
419,1000014,2020-02-25,2,37,158,4000
420,1000069,2020-02-25,1,24,518,5000
421,1000166,2020-02-25,1,28,334,26600
422,1000207,2020-02-25,1,30,546,32000
423,1000277,2020-02-25,1,7,488,10000
424,1000318,2020-02-25,1,16,332,18500
425,1000388,2020-02-25,1,11,333,22200
426,1000429,2020-02-25,1,1,41,30000
427,1000499,2020-02-25,1,10,11,17000
428,1000499,2020-02-25,1,10,11,17000
429,1000667,2020-02-25,1,12,145,2000
430,1000722,2020-02-25,1,31,112,5000
431,1000752,2020-02-25,1,28,145,2000
432,1000807,2020-02-25,1,16,152,3000
439,1000010,2020-02-26,2,17,158,4000
440,1000012,2020-02-26,2,6,158,4000
441,1000014,2020-02-26,1,8,209,6000
442,1000069,2020-02-26,1,35,214,9000
454,1000008,2020-02-27,2,17,158,4000
455,1000023,2020-02-27,1,9,644,98000
456,1000165,2020-02-27,1,17,91,18000
457,1000206,2020-02-27,1,15,565,7000
458,1000276,2020-02-27,1,29,306,52700
459,1000317,2020-02-27,1,32,136,27000
460,1000387,2020-02-27,1,20,306,52700
461,1000428,2020-02-27,1,35,455,21000
462,1000497,2020-02-27,1,5,361,28000
463,1000498,2020-02-27,1,5,361,28000
464,1000539,2020-02-27,2,38,558,4000
465,1000609,2020-02-27,1,13,637,385000
466,1000650,2020-02-27,1,13,172,10000
467,1000676,2020-02-27,1,22,361,28000
468,1000761,2020-02-27,1,28,177,13000
473,1000023,2020-02-28,1,19,158,4000
474,1000024,2020-02-28,1,10,370,14000
475,1000165,2020-02-28,1,18,561,5000
476,1000206,2020-02-28,2,37,370,14000
477,1000276,2020-02-28,1,9,158,4000
478,1000317,2020-02-28,2,38,370,14000
479,1000387,2020-02-28,1,28,455,21000
480,1000428,2020-02-28,1,4,158,4000
481,1000498,2020-02-28,1,35,623,75000
482,1000539,2020-02-28,1,11,560,5000
483,1000609,2020-02-28,1,14,558,4000
484,1000650,2020-02-28,1,31,463,64000
485,1000676,2020-02-28,1,24,565,7000
486,1000677,2020-02-28,1,20,457,31000
487,1000761,2020-02-28,1,5,136,27000
488,1000762,2020-02-28,1,29,455,21000
489,1000005,2020-02-29,2,17,158,4000
490,1000023,2020-03-01,1,16,530,11000
491,1000024,2020-03-01,1,19,514,4000
492,1000025,2020-03-01,1,11,603,2700
493,1000070,2020-03-01,1,27,629,155000
494,1000165,2020-03-01,1,22,107,3000
495,1000206,2020-03-01,1,23,619,43000
496,1000276,2020-03-01,1,21,229,24000
497,1000317,2020-03-01,1,15,434,3000
498,1000387,2020-03-01,1,11,196,51000
499,1000428,2020-03-01,2,37,98,53000
500,1000498,2020-03-01,1,12,566,8000
501,1000498,2020-03-01,1,12,566,8000
502,1000500,2020-03-01,1,12,566,8000
503,1000677,2020-03-01,1,29,158,4000
504,1000678,2020-03-01,1,15,561,5000
505,1000723,2020-03-01,1,18,370,14000
506,1000762,2020-03-01,1,35,352,12000
507,1000763,2020-03-01,1,1,370,14000
508,1000808,2020-03-01,1,31,370,14000
509,1000024,2020-03-02,1,17,55,14000
510,1000025,2020-03-02,1,33,518,5000
511,1000026,2020-03-02,1,12,200,3000
512,1000070,2020-03-02,1,7,518,5000
513,1000678,2020-03-02,1,28,306,52700
514,1000679,2020-03-02,1,18,370,14000
515,1000723,2020-03-02,1,30,457,31000
516,1000763,2020-03-02,1,10,370,14000
517,1000764,2020-03-02,1,2,637,385000
518,1000808,2020-03-02,1,15,614,289000
519,1000007,2020-03-03,2,6,158,4000
520,1000025,2020-03-03,1,19,157,4000
521,1000026,2020-03-03,1,11,614,289000
522,1000027,2020-03-03,1,14,112,5000
523,1000070,2020-03-03,2,38,628,129000
524,1000164,2020-03-03,1,9,595,43000
525,1000205,2020-03-03,2,33,523,7000
526,1000275,2020-03-03,2,38,75,100000
527,1000316,2020-03-03,1,21,370,14000
528,1000386,2020-03-03,1,18,112,5000
529,1000427,2020-03-03,1,18,534,15000
530,1000495,2020-03-03,1,6,561,5000
531,1000497,2020-03-03,1,6,561,5000
532,1000538,2020-03-03,2,37,361,28000
533,1000608,2020-03-03,1,11,306,52700
534,1000649,2020-03-03,1,12,518,5000
535,1000679,2020-03-03,1,27,457,31000
536,1000680,2020-03-03,1,25,565,7000
537,1000764,2020-03-03,2,37,637,385000
538,1000765,2020-03-03,1,30,95,37000
543,1000026,2020-03-04,1,21,404,20000
544,1000027,2020-03-04,1,2,112,5000
545,1000028,2020-03-04,1,13,614,289000
546,1000164,2020-03-04,2,22,561,5000
547,1000205,2020-03-04,1,16,370,14000
548,1000275,2020-03-04,4,39,177,13000
549,1000316,2020-03-04,2,37,392,40000
550,1000386,2020-03-04,1,29,455,21000
551,1000427,2020-03-04,1,3,370,14000
552,1000497,2020-03-04,1,5,172,10000
553,1000538,2020-03-04,1,30,177,13000
554,1000608,2020-03-04,1,22,457,31000
555,1000649,2020-03-04,1,24,558,4000
556,1000680,2020-03-04,1,25,580,15000
557,1000681,2020-03-04,1,26,357,19000
558,1000765,2020-03-04,1,6,457,31000
559,1000766,2020-03-04,1,3,644,98000
560,1000027,2020-03-05,1,22,57,20000
561,1000028,2020-03-05,1,8,514,4000
562,1000164,2020-03-05,1,24,157,4000
563,1000205,2020-03-05,1,25,430,2000
564,1000275,2020-03-05,1,6,281,7500
565,1000316,2020-03-05,1,28,528,9000
566,1000386,2020-03-05,1,10,613,207000
567,1000427,2020-03-05,1,24,221,14000
568,1000497,2020-03-05,1,15,645,137000
569,1000681,2020-03-05,1,24,170,8000
570,1000766,2020-03-05,1,1,370,14000
571,1000014,2020-03-06,2,17,158,4000
572,1000014,2020-03-06,1,30,631,223000
573,1000028,2020-03-06,1,20,357,19000
574,1000071,2020-03-06,1,26,370,14000
575,1000724,2020-03-06,1,21,527,8000
576,1000809,2020-03-06,1,30,455,21000
583,1000015,2020-03-07,2,6,158,4000
584,1000071,2020-03-07,1,13,527,8000
585,1000163,2020-03-07,1,31,523,7000
586,1000204,2020-03-07,1,34,89,12000
587,1000274,2020-03-07,1,28,534,15000
588,1000315,2020-03-07,1,15,614,289000
589,1000385,2020-03-07,2,38,580,15000
590,1000426,2020-03-07,1,17,614,289000
591,1000496,2020-03-07,1,4,352,12000
592,1000537,2020-03-07,3,36,523,7000
593,1000607,2020-03-07,1,12,614,289000
594,1000648,2020-03-07,1,11,370,14000
595,1000724,2020-03-07,1,30,75,100000
596,1000809,2020-03-07,1,10,112,5000
597,1000071,2020-03-08,1,4,421,48000
598,1000163,2020-03-08,2,19,561,5000
599,1000204,2020-03-08,1,17,357,19000
600,1000274,2020-03-08,4,40,523,7000
601,1000315,2020-03-08,1,32,457,31000
602,1000385,2020-03-08,1,27,560,5000
603,1000426,2020-03-08,1,1,558,4000
604,1000496,2020-03-08,1,32,457,31000
605,1000537,2020-03-08,1,27,614,289000
606,1000607,2020-03-08,1,24,352,12000
607,1000648,2020-03-08,1,20,580,15000
608,1000010,2020-03-09,1,27,530,11000
609,1000163,2020-03-09,1,23,304,26900
610,1000204,2020-03-09,1,28,249,1000
611,1000274,2020-03-09,1,5,425,83000
612,1000315,2020-03-09,1,27,592,36000
613,1000385,2020-03-09,1,10,142,43000
614,1000426,2020-03-09,1,4,539,20000
615,1000496,2020-03-09,1,11,422,58000
620,1000009,2020-03-11,2,6,158,4000
621,1000058,2020-03-11,1,17,158,4000
622,1000072,2020-03-11,1,28,158,4000
623,1000162,2020-03-11,4,40,172,10000
624,1000203,2020-03-11,1,32,505,43000
625,1000273,2020-03-11,1,10,352,12000
626,1000314,2020-03-11,1,22,353,14000
627,1000384,2020-03-11,1,14,533,13000
628,1000425,2020-03-11,1,16,144,48000
629,1000495,2020-03-11,1,3,158,4000
630,1000536,2020-03-11,1,19,170,8000
631,1000606,2020-03-11,1,9,370,14000
632,1000647,2020-03-11,1,1,170,8000
633,1000711,2020-03-11,1,12,603,2700
634,1000725,2020-03-11,1,20,89,12000
635,1000796,2020-03-11,1,7,629,155000
636,1000810,2020-03-11,1,34,644,98000
641,1000058,2020-03-12,1,20,357,19000
642,1000072,2020-03-12,1,26,370,14000
643,1000162,2020-03-12,1,21,561,5000
644,1000203,2020-03-12,1,21,91,18000
645,1000273,2020-03-12,1,20,177,13000
646,1000314,2020-03-12,4,39,392,40000
647,1000384,2020-03-12,1,28,560,5000
648,1000425,2020-03-12,1,2,565,7000
649,1000495,2020-03-12,1,29,200,3000
650,1000536,2020-03-12,1,26,89,12000
651,1000606,2020-03-12,1,8,158,4000
652,1000647,2020-03-12,1,30,457,31000
653,1000711,2020-03-12,1,23,370,14000
654,1000725,2020-03-12,1,34,370,14000
655,1000796,2020-03-12,1,24,370,14000
656,1000810,2020-03-12,2,37,561,5000
657,1000058,2020-03-13,1,8,273,3600
658,1000072,2020-03-13,2,37,329,12800
659,1000162,2020-03-13,1,21,553,51000
660,1000203,2020-03-13,1,24,222,15000
661,1000273,2020-03-13,1,16,391,36000
662,1000314,2020-03-13,1,26,457,31000
663,1000384,2020-03-13,1,9,57,20000
664,1000425,2020-03-13,1,3,306,52700
665,1000495,2020-03-13,1,15,281,7500
666,1000161,2020-03-15,1,6,370,14000
667,1000202,2020-03-15,1,1,595,43000
668,1000272,2020-03-15,2,37,640,555000
669,1000313,2020-03-15,1,18,136,27000
670,1000383,2020-03-15,1,13,455,21000
671,1000424,2020-03-15,1,34,349,14000
672,1000494,2020-03-15,1,2,75,100000
673,1000535,2020-03-15,4,40,623,75000
674,1000605,2020-03-15,1,6,644,98000
675,1000646,2020-03-15,1,2,306,52700
676,1000013,2020-03-16,1,27,530,11000
677,1000073,2020-03-16,1,18,370,14000
678,1000161,2020-03-16,1,27,95,37000
679,1000202,2020-03-16,1,10,533,13000
680,1000272,2020-03-16,1,21,523,7000
681,1000313,2020-03-16,1,29,177,13000
682,1000383,2020-03-16,1,26,603,2700
683,1000424,2020-03-16,1,3,629,155000
684,1000494,2020-03-16,1,29,177,13000
685,1000535,2020-03-16,1,25,518,5000
686,1000605,2020-03-16,1,17,75,100000
687,1000646,2020-03-16,1,28,152,3000
688,1000726,2020-03-16,1,23,370,14000
689,1000811,2020-03-16,1,32,623,75000
694,1000073,2020-03-17,1,21,370,14000
695,1000161,2020-03-17,1,19,18,28000
696,1000202,2020-03-17,1,22,340,42900
697,1000272,2020-03-17,1,4,172,10000
698,1000313,2020-03-17,1,13,287,18600
699,1000383,2020-03-17,1,7,298,5000
700,1000424,2020-03-17,1,23,466,92000
701,1000494,2020-03-17,1,14,69,48000
702,1000726,2020-03-17,1,10,455,21000
703,1000811,2020-03-17,2,38,370,14000
704,1000073,2020-03-18,1,2,500,27000
705,1000012,2020-03-19,1,30,631,223000
706,1000029,2020-03-19,1,15,306,52700
707,1000160,2020-03-19,1,28,600,1400
708,1000201,2020-03-19,1,3,595,43000
709,1000271,2020-03-19,1,15,561,5000
710,1000312,2020-03-19,2,14,639,462000
711,1000382,2020-03-19,1,12,560,5000
712,1000423,2020-03-19,1,15,565,7000
713,1000493,2020-03-19,4,40,614,289000
714,1000534,2020-03-19,1,34,145,2000
715,1000604,2020-03-19,1,10,629,155000
716,1000645,2020-03-19,1,6,629,155000
717,1000682,2020-03-19,1,27,370,14000
718,1000767,2020-03-19,1,4,558,4000
723,1000029,2020-03-20,1,15,614,289000
724,1000030,2020-03-20,1,17,370,14000
725,1000160,2020-03-20,1,17,561,5000
726,1000201,2020-03-20,2,15,533,13000
727,1000271,2020-03-20,1,12,353,14000
728,1000312,2020-03-20,2,38,370,14000
729,1000382,2020-03-20,2,25,505,43000
730,1000423,2020-03-20,1,3,457,31000
731,1000493,2020-03-20,1,4,534,15000
732,1000534,2020-03-20,1,14,558,4000
733,1000604,2020-03-20,1,8,611,148000
734,1000645,2020-03-20,1,23,145,2000
735,1000682,2020-03-20,1,33,172,10000
736,1000683,2020-03-20,1,29,62,41000
737,1000767,2020-03-20,1,1,561,5000
738,1000768,2020-03-20,1,5,145,2000
739,1000006,2020-03-21,2,17,158,4000
740,1000006,2020-03-21,1,30,631,223000
741,1000029,2020-03-21,1,25,284,10700
742,1000030,2020-03-21,1,33,170,8000
743,1000031,2020-03-21,1,16,158,4000
744,1000074,2020-03-21,1,20,352,12000
745,1000160,2020-03-21,1,17,290,26700
746,1000201,2020-03-21,1,21,131,22000
747,1000271,2020-03-21,1,20,325,8900
748,1000312,2020-03-21,1,14,624,90000
749,1000382,2020-03-21,1,9,279,6200
750,1000423,2020-03-21,1,35,142,43000
751,1000493,2020-03-21,1,9,509,2000
752,1000683,2020-03-21,1,3,580,15000
753,1000684,2020-03-21,1,30,136,27000
754,1000727,2020-03-21,1,25,91,18000
755,1000768,2020-03-21,2,38,643,70000
756,1000769,2020-03-21,1,31,455,21000
757,1000812,2020-03-21,1,33,455,21000
758,1000030,2020-03-22,1,26,526,8000
759,1000031,2020-03-22,1,11,518,5000
760,1000032,2020-03-22,1,19,136,27000
761,1000074,2020-03-22,1,20,523,7000
762,1000684,2020-03-22,1,34,561,5000
763,1000685,2020-03-22,1,31,637,385000
764,1000727,2020-03-22,1,33,91,18000
765,1000769,2020-03-22,1,9,527,8000
766,1000770,2020-03-22,1,6,357,19000
767,1000812,2020-03-22,1,17,561,5000
768,1000031,2020-03-23,1,27,162,6000
769,1000032,2020-03-23,2,38,518,5000
770,1000033,2020-03-23,1,18,558,4000
771,1000074,2020-03-23,1,5,472,4000
772,1000159,2020-03-23,1,31,357,19000
773,1000200,2020-03-23,1,7,357,19000
774,1000270,2020-03-23,1,27,614,289000
775,1000311,2020-03-23,1,13,639,462000
776,1000381,2020-03-23,2,10,505,43000
777,1000422,2020-03-23,1,14,603,2700
778,1000492,2020-03-23,1,4,644,98000
779,1000533,2020-03-23,1,18,561,5000
780,1000603,2020-03-23,1,26,370,14000
781,1000644,2020-03-23,1,5,565,7000
782,1000685,2020-03-23,1,35,561,5000
783,1000686,2020-03-23,1,1,561,5000
784,1000770,2020-03-23,1,7,603,2700
785,1000771,2020-03-23,1,32,370,14000
786,1000032,2020-03-24,1,30,393,44000
787,1000033,2020-03-24,1,17,136,27000
788,1000034,2020-03-24,1,20,643,70000
789,1000159,2020-03-24,4,40,561,5000
790,1000200,2020-03-24,1,14,623,75000
791,1000270,2020-03-24,2,38,200,3000
792,1000311,2020-03-24,2,37,603,2700
793,1000381,2020-03-24,1,24,370,14000
794,1000422,2020-03-24,1,23,518,5000
795,1000492,2020-03-24,1,27,144,48000
796,1000494,2020-03-24,1,27,144,48000
797,1000533,2020-03-24,1,14,533,13000
798,1000603,2020-03-24,1,15,353,14000
