order_no,mem_no,order_date,store_cd
2000278,1001455,2020-02-28,2015
2000279,1001456,2020-02-28,2015
2000282,1001480,2020-02-28,2012
2000290,1001552,2020-02-28,2011
2000291,1001447,2020-02-29,2011
2000292,1001452,2020-02-29,2011
2000305,1001449,2020-03-01,2015
2000306,1001451,2020-03-01,2002
2000309,1001457,2020-03-01,2006
2000311,1001467,2020-03-01,2012
2000312,1001468,2020-03-01,2012
2000313,1001473,2020-03-01,2012
2000314,1001474,2020-03-01,2012
2000324,1001517,2020-03-01,2015
2000334,1001445,2020-03-02,2015
2000335,1001450,2020-03-02,2006
2000339,1001470,2020-03-02,2012
2000354,1001440,2020-03-03,2012
2000363,1001507,2020-03-03,2012
2000368,1001422,2020-03-04,2015
2000369,1001424,2020-03-04,2015
2000370,1001425,2020-03-04,2015
2000371,1001438,2020-03-04,2012
2000372,1001439,2020-03-04,2012
2000373,1001441,2020-03-04,2015
2000374,1001446,2020-03-04,2012
2000378,1001465,2020-03-04,2012
2000379,1001466,2020-03-04,2012
2000388,1001419,2020-03-05,2015
2000389,1001421,2020-03-05,2015
2000390,1001435,2020-03-05,2012
2000391,1001436,2020-03-05,2012
2000392,1001437,2020-03-05,2012
2000394,1001443,2020-03-05,2012
2000395,1001444,2020-03-05,2012
2000414,1001423,2020-03-06,2007
2000416,1001426,2020-03-06,2007
2000417,1001433,2020-03-06,2012
2000418,1001434,2020-03-06,2012
2000431,1001418,2020-03-07,2015
2000434,1001427,2020-03-07,2012
2000435,1001429,2020-03-07,2012
2000436,1001430,2020-03-07,2012
2000437,1001431,2020-03-07,2012
2000438,1001432,2020-03-07,2012
2000440,1001442,2020-03-07,2012
2000448,1001414,2020-03-08,2015
2000462,1001409,2020-03-09,2012
2000491,1001410,2020-03-10,2015
2000492,1001412,2020-03-10,2015
2000494,1001417,2020-03-10,2008
2000499,1001478,2020-03-10,2012
2000512,1001411,2020-03-11,2012
2000536,1001392,2020-03-13,2012
2000537,1001393,2020-03-13,2012
2000538,1001394,2020-03-13,2012
2000539,1001395,2020-03-13,2012
2000540,1001396,2020-03-13,2012
2000541,1001397,2020-03-13,2012
2000542,1001405,2020-03-13,2012
2000543,1001406,2020-03-13,2015
2000544,1001416,2020-03-13,2008
2000555,1001428,2020-03-14,2012
2000557,1001454,2020-03-14,2002
2000562,1001403,2020-03-15,2012
2000563,1001404,2020-03-15,2012
2000579,1001383,2020-03-16,2001
2000580,1001387,2020-03-16,2015
2000581,1001389,2020-03-16,2015
2000582,1001407,2020-03-16,2003
2000594,1001380,2020-03-17,2001
2000595,1001401,2020-03-17,2012
2000608,1001381,2020-03-18,2012
2000610,1001384,2020-03-18,2008
2000612,1001390,2020-03-18,2008
2000627,1001385,2020-03-19,2008
2000628,1001388,2020-03-19,2008
2000638,1001402,2020-03-20,2012
2000639,1001408,2020-03-20,2012
2000643,1001420,2020-03-20,2002
2000653,1001372,2020-03-21,2012
2000654,1001373,2020-03-21,2012
2000655,1001376,2020-03-21,2001
2000671,1001360,2020-03-22,2001
2000672,1001362,2020-03-22,2001
2000673,1001379,2020-03-22,2001
2000675,1001386,2020-03-22,2008
2000684,1001357,2020-03-23,2001
2000685,1001358,2020-03-23,2001
2000686,1001375,2020-03-23,2013
2000687,1001382,2020-03-23,2013
2000694,1001398,2020-03-23,2012
2000695,1001399,2020-03-23,2012
2000697,1001415,2020-03-23,2003
2000706,1001344,2020-03-24,2002
2000707,1001351,2020-03-24,2002
2000708,1001353,2020-03-24,2001
2000709,1001355,2020-03-24,2001
2000710,1001359,2020-03-24,2009
2000722,1001348,2020-03-25,2012
2000741,1001349,2020-03-26,2005
2000742,1001350,2020-03-26,2005
2000744,1001352,2020-03-26,2002
2000745,1001354,2020-03-26,2009
2000749,1001400,2020-03-26,2012
2000761,1001343,2020-03-27,2002
2000768,1001329,2020-03-28,2002
2000769,1001342,2020-03-28,2012
2000771,1001363,2020-03-28,2009
2000772,1001377,2020-03-28,2001
2000773,1001378,2020-03-28,2001
2000781,1001337,2020-03-29,2002
2000782,1001339,2020-03-29,2002
2000783,1001340,2020-03-29,2002
2000785,1001356,2020-03-29,2009
2000786,1001371,2020-03-29,2012
2000793,1001413,2020-03-29,2012
2000802,1001341,2020-03-30,2002
2000803,1001346,2020-03-30,2002
2000804,1001347,2020-03-30,2002
2000814,1001331,2020-03-31,2012
2000815,1001332,2020-03-31,2012
2000816,1001333,2020-03-31,2012
2000817,1001334,2020-03-31,2012
2000818,1001335,2020-03-31,2012
2000819,1001336,2020-03-31,2012
2000822,1001374,2020-03-31,2012
2000829,1001391,2020-03-31,2012
2000833,1001321,2020-04-01,2003
2000834,1001323,2020-04-01,2003
2000835,1001326,2020-04-01,2002
2000836,1001327,2020-04-01,2002
2000839,1001361,2020-04-01,2013
2000846,1001318,2020-04-02,2006
2000855,1001317,2020-04-03,2006
2000861,1001328,2020-04-03,2010
2000862,1001330,2020-04-03,2010
2000863,1001338,2020-04-03,2002
2000873,1001320,2020-04-04,2003
2000883,1001314,2020-04-05,2006
2000895,1001315,2020-04-06,2003
2000905,1001324,2020-04-07,2011
2000913,1001370,2020-04-07,2012
2000926,1001308,2020-04-08,2012
2000927,1001309,2020-04-08,2012
2000928,1001310,2020-04-08,2012
2000929,1001311,2020-04-08,2012
2000930,1001312,2020-04-08,2012
2000931,1001313,2020-04-08,2012
2000932,1001319,2020-04-08,2003
2000934,1001345,2020-04-08,2002
2000947,1001296,2020-04-09,2003
2000948,1001298,2020-04-09,2003
2000949,1001299,2020-04-09,2003
2000950,1001301,2020-04-09,2003
2000951,1001303,2020-04-09,2003
2000957,1001364,2020-04-09,2012
2000960,1001290,2020-04-10,2004
2000972,1001281,2020-04-11,2012
2000973,1001282,2020-04-11,2012
2000974,1001283,2020-04-11,2012
2000975,1001284,2020-04-11,2012
2000976,1001286,2020-04-11,2012
2000977,1001293,2020-04-11,2007
2000978,1001294,2020-04-11,2007
2000981,1001300,2020-04-11,2011
2000982,1001302,2020-04-11,2011
2000983,1001304,2020-04-11,2011
2000987,1001325,2020-04-11,2005
2000992,1001368,2020-04-11,2012
2000993,1001369,2020-04-11,2012
2000995,1001288,2020-04-12,2007
2000997,1001305,2020-04-12,2011
2000998,1001316,2020-04-12,2003
2001000,1001365,2020-04-12,2012
2001001,1001366,2020-04-12,2012
2001002,1001367,2020-04-12,2012
2001009,1001287,2020-04-13,2007
2001010,1001289,2020-04-13,2004
2001011,1001292,2020-04-13,2012
2001030,1001270,2020-04-14,2012
2001031,1001271,2020-04-14,2012
2001032,1001279,2020-04-14,2012
2001033,1001291,2020-04-14,2012
2001063,1001266,2020-04-16,2012
2001064,1001267,2020-04-16,2012
2001065,1001269,2020-04-16,2012
2001067,1001272,2020-04-16,2012
2001068,1001273,2020-04-16,2012
2001069,1001274,2020-04-16,2012
2001070,1001275,2020-04-16,2012
2001071,1001276,2020-04-16,2012
2001072,1001277,2020-04-16,2012
2001076,1001307,2020-04-16,2012
2001089,1001254,2020-04-17,2005
2001090,1001264,2020-04-17,2012
2001094,1001285,2020-04-17,2007
2001107,1001263,2020-04-18,2004
2001108,1001265,2020-04-18,2004
2001117,1001322,2020-04-18,2006
2001130,1001253,2020-04-19,2005
2001133,1001255,2020-04-19,2008
2001134,1001256,2020-04-19,2008
2001135,1001260,2020-04-19,2012
2001136,1001262,2020-04-19,2012
2001137,1001297,2020-04-19,2006
2001142,1001306,2020-04-19,2012
2001151,1001252,2020-04-20,2002
2001152,1001257,2020-04-20,2011
2001153,1001261,2020-04-20,2004
2001154,1001280,2020-04-20,2012
2001163,1001251,2020-04-21,2002
2001164,1001258,2020-04-21,2005
2001166,1001259,2020-04-21,2004
2001167,1001268,2020-04-21,2012
2001173,1001278,2020-04-21,2012
2001175,1001250,2020-04-22,2008
2001183,1001295,2020-04-22,2001
2001191,1001249,2020-04-23,2008
2001204,1001242,2020-04-24,2012
2001220,1001233,2020-04-25,2013
2001221,1001246,2020-04-25,2012
2001222,1001247,2020-04-25,2012
2001223,1001248,2020-04-25,2012
2001259,1001231,2020-04-28,2011
2001260,1001232,2020-04-28,2013
2001276,1001215,2020-04-29,2013
2001277,1001216,2020-04-29,2006
2001279,1001218,2020-04-29,2013
2001280,1001227,2020-04-29,2011
2001281,1001229,2020-04-29,2011
2001282,1001230,2020-04-29,2005
2001293,1001212,2020-04-30,2013
2001295,1001228,2020-04-30,2005
2001307,1001208,2020-05-01,2009
2001308,1001213,2020-05-01,2003
2001311,1001219,2020-05-01,2009
2001312,1001220,2020-05-01,2009
2001324,1001204,2020-05-02,2013
2001325,1001205,2020-05-02,2013
2001326,1001211,2020-05-02,2009
2001330,1001223,2020-05-02,2011
2001331,1001225,2020-05-02,2011
2001342,1001202,2020-05-03,2013
2001345,1001214,2020-05-03,2013
2001346,1001222,2020-05-03,2006
2001351,1001236,2020-05-03,2012
2001352,1001237,2020-05-03,2012
2001359,1001206,2020-05-04,2013
2001362,1001217,2020-05-04,2003
2001373,1001203,2020-05-05,2013
2001376,1001234,2020-05-05,2012
2001377,1001235,2020-05-05,2012
2001382,1001197,2020-05-06,2013
2001384,1001209,2020-05-06,2006
2001389,1001185,2020-05-07,2013
2001390,1001186,2020-05-07,2013
2001391,1001187,2020-05-07,2013
2001392,1001207,2020-05-07,2009
2001394,1001226,2020-05-07,2013
2001397,1001184,2020-05-08,2013
2001408,1001190,2020-05-09,2013
2001418,1001177,2020-05-10,2012
2001419,1001179,2020-05-10,2012
2001420,1001181,2020-05-10,2012
2001421,1001183,2020-05-10,2012
2001424,1001210,2020-05-10,2013
2001425,1001221,2020-05-10,2009
2001427,1001224,2020-05-10,2008
2001431,1001239,2020-05-10,2012
2001432,1001240,2020-05-10,2012
2001433,1001241,2020-05-10,2012
2001434,1001245,2020-05-10,2012
2001440,1001166,2020-05-11,2007
2001444,1001182,2020-05-11,2006
2001446,1001198,2020-05-11,2013
2001447,1001201,2020-05-11,2013
2001453,1001162,2020-05-12,2010
2001454,1001163,2020-05-12,2013
2001455,1001164,2020-05-12,2004
2001456,1001165,2020-05-12,2013
2001457,1001167,2020-05-12,2013
2001458,1001168,2020-05-12,2010
2001460,1001169,2020-05-12,2010
2001461,1001170,2020-05-12,2010
2001462,1001188,2020-05-12,2013
2001473,1001161,2020-05-13,2010
2001482,1001173,2020-05-14,2012
2001483,1001175,2020-05-14,2012
2001484,1001191,2020-05-14,2013
2001485,1001192,2020-05-14,2013
2001486,1001193,2020-05-14,2013
2001487,1001194,2020-05-14,2013
2001488,1001195,2020-05-14,2013
2001495,1001238,2020-05-14,2012
2001498,1001159,2020-05-15,2010
2001501,1001171,2020-05-15,2007
2001504,1001176,2020-05-15,2014
2001505,1001180,2020-05-15,2014
2001514,1001157,2020-05-16,2013
2001515,1001160,2020-05-16,2013
2001517,1001172,2020-05-16,2013
2001523,1001151,2020-05-17,2013
2001524,1001152,2020-05-17,2013
2001535,1001243,2020-05-17,2012
2001536,1001244,2020-05-17,2012
2001538,1001149,2020-05-18,2013
2001539,1001150,2020-05-18,2013
2001542,1001178,2020-05-18,2009
2001551,1001196,2020-05-18,2013
2001556,1001158,2020-05-19,2010
2001572,1001134,2020-05-21,2011
2001573,1001135,2020-05-21,2011
2001581,1001189,2020-05-21,2013
2001588,1001136,2020-05-22,2004
2001589,1001147,2020-05-22,2013
2001590,1001148,2020-05-22,2013
2001592,1001156,2020-05-22,2013
2001594,1001174,2020-05-22,2009
2001597,1001123,2020-05-23,2004
2001598,1001127,2020-05-23,2011
2001599,1001128,2020-05-23,2005
2001600,1001133,2020-05-23,2013
2001602,1001137,2020-05-23,2008
2001603,1001139,2020-05-23,2007
2001604,1001140,2020-05-23,2007
2001605,1001142,2020-05-23,2007
2001606,1001144,2020-05-23,2007
2001607,1001146,2020-05-23,2007
2001610,1001153,2020-05-23,2013
2001620,1001121,2020-05-24,2011
2001621,1001131,2020-05-24,2013
2001622,1001141,2020-05-24,2013
2001627,1001154,2020-05-24,2013
2001628,1001155,2020-05-24,2013
2001639,1001118,2020-05-25,2013
2001640,1001119,2020-05-25,2011
2001642,1001120,2020-05-25,2011
2001643,1001126,2020-05-25,2011
2001646,1001132,2020-05-25,2004
2001660,1001124,2020-05-26,2008
2001661,1001125,2020-05-26,2013
2001687,1001111,2020-05-29,2004
2001690,1001129,2020-05-29,2013
2001710,1001104,2020-05-30,2004
2001711,1001106,2020-05-30,2004
2001712,1001108,2020-05-30,2004
2001713,1001110,2020-05-30,2004
2001720,1001199,2020-05-30,2013
2001721,1001200,2020-05-30,2013
2001728,1001112,2020-05-31,2013
2001729,1001122,2020-05-31,2004
2001732,1001138,2020-05-31,2011
2001736,1001143,2020-05-31,2010
2001737,1001145,2020-05-31,2010
2001744,1001097,2020-06-01,2012
2001745,1001099,2020-06-01,2012
2001761,1001103,2020-06-02,2004
2001762,1001116,2020-06-02,2013
2001779,1001101,2020-06-03,2004
2001780,1001113,2020-06-03,2013
2001781,1001114,2020-06-03,2013
2001782,1001115,2020-06-03,2013
2001783,1001130,2020-06-03,2008
2001786,1001091,2020-06-04,2006
2001787,1001095,2020-06-04,2005
2001788,1001100,2020-06-04,2009
2001789,1001102,2020-06-04,2008
2001791,1001117,2020-06-04,2013
2001806,1001090,2020-06-05,2012
2001808,1001096,2020-06-05,2006
2001822,1001089,2020-06-06,2012
2001838,1001086,2020-06-08,2009
2001839,1001105,2020-06-08,2011
2001840,1001107,2020-06-08,2011
2001841,1001109,2020-06-08,2011
2001848,1001079,2020-06-09,2013
2001849,1001080,2020-06-09,2013
2001850,1001081,2020-06-09,2013
2001851,1001082,2020-06-09,2013
2001863,1001078,2020-06-10,2005
2001864,1001084,2020-06-10,2012
2001865,1001085,2020-06-10,2012
2001880,1001068,2020-06-11,2013
2001881,1001072,2020-06-11,2005
2001882,1001075,2020-06-11,2005
2001883,1001077,2020-06-11,2005
2001893,1001062,2020-06-12,2007
2001894,1001073,2020-06-12,2005
2001897,1001087,2020-06-12,2005
2001898,1001092,2020-06-12,2012
2001908,1001064,2020-06-13,2013
2001909,1001065,2020-06-13,2007
2001910,1001066,2020-06-13,2013
2001911,1001067,2020-06-13,2013
2001912,1001070,2020-06-13,2006
2001913,1001071,2020-06-13,2005
2001915,1001076,2020-06-13,2006
2001921,1001069,2020-06-14,2010
2001924,1001074,2020-06-14,2006
2001926,1001088,2020-06-14,2006
2001930,1001060,2020-06-15,2010
2001933,1001094,2020-06-15,2009
2001942,1001054,2020-06-16,2006
2001943,1001059,2020-06-16,2013
2001946,1001098,2020-06-16,2012
2001953,1001051,2020-06-17,2013
2001954,1001052,2020-06-17,2013
2001955,1001058,2020-06-17,2013
2001958,1001093,2020-06-17,2009
2001967,1001053,2020-06-18,2013
2001968,1001055,2020-06-18,2006
2001975,1001056,2020-06-19,2010
2001980,1001083,2020-06-19,2013
2001999,1001048,2020-06-21,2013
2002000,1001050,2020-06-21,2013
2002020,1001063,2020-06-23,2010
2002030,1001040,2020-06-24,2013
2002031,1001057,2020-06-24,2006
2002032,1001061,2020-06-24,2006
2002045,1001034,2020-06-27,2013
2002046,1001035,2020-06-27,2013
2002047,1001036,2020-06-27,2013
2002048,1001037,2020-06-27,2013
2002049,1001038,2020-06-27,2013
2002060,1001033,2020-06-28,2013
2002088,1001025,2020-07-01,2006
2002089,1001032,2020-07-01,2006
2002098,1001026,2020-07-02,2010
2002100,1001027,2020-07-02,2006
2002101,1001028,2020-07-02,2010
2002102,1001029,2020-07-02,2006
2002103,1001030,2020-07-02,2010
2002104,1001031,2020-07-02,2010
2002114,1001017,2020-07-03,2015
2002121,1001024,2020-07-04,2010
2002130,1001016,2020-07-05,2011
2002131,1001020,2020-07-05,2013
2002132,1001049,2020-07-05,2013
2002140,1001013,2020-07-06,2015
2002141,1001022,2020-07-06,2011
2002147,1001015,2020-07-08,2011
2002150,1001023,2020-07-08,2008
2002152,1001047,2020-07-08,2013
2002159,1001007,2020-07-09,2013
2002160,1001008,2020-07-09,2013
2002161,1001009,2020-07-09,2013
2002162,1001010,2020-07-09,2013
2002163,1001011,2020-07-09,2013
2002167,1001000,2020-07-10,2013
2002168,1001001,2020-07-10,2013
2002169,1001002,2020-07-10,2013
2002170,1001003,2020-07-10,2013
2002176,1001039,2020-07-10,2013
2002182,1001006,2020-07-12,2013
2002183,1001014,2020-07-12,2015
2002189,1001019,2020-07-13,2011
2002192,1001046,2020-07-13,2013
2002195,1000998,2020-07-14,2011
2002196,1001004,2020-07-14,2013
2002200,1001042,2020-07-14,2013
2002201,1001043,2020-07-14,2013
2002202,1001044,2020-07-14,2013
2002203,1001045,2020-07-14,2013
2002208,1000999,2020-07-15,2013
2002209,1001012,2020-07-15,2015
2002210,1001018,2020-07-15,2011
2002248,1000991,2020-07-18,2012
2002249,1000992,2020-07-18,2011
2002250,1000994,2020-07-18,2011
2002251,1000995,2020-07-18,2011
2002252,1000996,2020-07-18,2011
2002253,1000997,2020-07-18,2011
2002262,1001041,2020-07-18,2013
2002266,1000985,2020-07-19,2015
2002267,1000986,2020-07-19,2015
2002276,1000993,2020-07-20,2015
2002292,1000984,2020-07-21,2012
2002303,1000978,2020-07-23,2013
2002306,1001005,2020-07-23,2013
2002314,1000977,2020-07-24,2013
2002315,1000983,2020-07-24,2015
2002318,1000975,2020-07-25,2013
2002319,1000990,2020-07-25,2015
2002323,1000972,2020-07-26,2013
2002324,1000973,2020-07-26,2013
2002325,1000974,2020-07-26,2013
2002327,1000982,2020-07-26,2013
2002328,1000989,2020-07-26,2015
2002333,1000979,2020-07-27,2013
2002337,1000980,2020-07-28,2013
2002340,1000988,2020-07-28,2013
2002347,1001021,2020-07-28,2015
2002350,1000967,2020-07-29,2012
2002351,1000987,2020-07-29,2012
2002360,1000960,2020-07-30,2013
2002361,1000961,2020-07-30,2012
2002362,1000962,2020-07-30,2012
2002363,1000964,2020-07-30,2012
2002364,1000965,2020-07-30,2012
2002365,1000966,2020-07-30,2012
2002369,1000954,2020-07-31,2015
2002370,1000955,2020-07-31,2015
2002371,1000968,2020-07-31,2009
2002378,1000963,2020-08-01,2009
2002383,1000981,2020-08-01,2015
2002387,1000953,2020-08-02,2013
2002401,1000976,2020-08-03,2013
2002414,1000941,2020-08-04,2014
2002415,1000942,2020-08-04,2014
2002420,1000952,2020-08-05,2015
2002421,1000959,2020-08-05,2015
2002430,1000937,2020-08-07,2014
2002431,1000938,2020-08-07,2014
2002432,1000939,2020-08-07,2014
2002433,1000940,2020-08-07,2014
2002438,1000947,2020-08-09,2013
2002439,1000948,2020-08-09,2013
2002440,1000958,2020-08-09,2015
2002450,1000951,2020-08-10,2013
2002452,1000956,2020-08-10,2013
2002453,1000957,2020-08-10,2013
2002458,1000946,2020-08-11,2013
2002461,1000945,2020-08-12,2013
2002465,1000933,2020-08-13,2013
2002466,1000934,2020-08-13,2013
2002467,1000935,2020-08-13,2013
2002468,1000936,2020-08-13,2013
2002470,1000949,2020-08-13,2013
2002471,1000950,2020-08-13,2015
2002475,1000969,2020-08-13,2013
2002476,1000970,2020-08-13,2013
2002483,1000943,2020-08-14,2013
2002484,1000944,2020-08-14,2013
2002493,1000919,2020-08-15,2015
2002494,1000923,2020-08-15,2015
2002495,1000924,2020-08-15,2015
2002496,1000930,2020-08-15,2013
2002497,1000931,2020-08-15,2013
2002498,1000932,2020-08-15,2010
2002516,1000971,2020-08-16,2013
2002522,1000929,2020-08-17,2001
2002529,1000922,2020-08-18,2009
2002539,1000909,2020-08-20,2014
2002553,1000916,2020-08-21,2014
2002554,1000921,2020-08-21,2015
2002555,1000928,2020-08-21,2015
2002565,1000906,2020-08-24,2014
2002566,1000907,2020-08-24,2014
2002567,1000908,2020-08-24,2014
2002568,1000920,2020-08-24,2009
2002569,1000927,2020-08-24,2015
2002572,1000899,2020-08-25,2014
2002573,1000925,2020-08-25,2009
2002574,1000926,2020-08-25,2009
2002583,1000896,2020-08-27,2014
2002584,1000917,2020-08-27,2014
2002591,1000897,2020-08-28,2001
2002593,1000898,2020-08-28,2001
2002595,1000904,2020-08-28,2005
2002596,1000905,2020-08-28,2005
2002606,1000894,2020-08-29,2014
2002607,1000895,2020-08-29,2014
2002609,1000900,2020-08-29,2006
2002610,1000901,2020-08-29,2005
2002611,1000902,2020-08-29,2005
2002612,1000903,2020-08-29,2005
2002634,1000910,2020-08-30,2014
2002635,1000911,2020-08-30,2014
2002636,1000912,2020-08-30,2014
2002637,1000913,2020-08-30,2014
2002638,1000914,2020-08-30,2014
2002639,1000918,2020-08-30,2015
2002644,1000884,2020-08-31,2014
2002645,1000885,2020-08-31,2014
2002653,1002557,2020-08-31,2011
2002654,1000888,2020-09-01,2002
2002661,1000887,2020-09-02,2002
2002667,1002558,2020-09-02,2001
2002668,1000882,2020-09-03,2014
2002669,1000883,2020-09-03,2014
2002671,1000890,2020-09-03,2007
2002673,1000891,2020-09-03,2006
2002674,1000892,2020-09-03,2006
2002684,1000915,2020-09-03,2014
2002686,1002554,2020-09-03,2015
2002687,1002556,2020-09-03,2001
2002688,1002559,2020-09-03,2014
2002701,1002547,2020-09-04,2002
2002702,1000877,2020-09-05,2003
2002715,1002549,2020-09-05,2006
2002731,1002550,2020-09-06,2005
2002733,1002555,2020-09-06,2010
2002735,1000875,2020-09-07,2003
2002736,1000876,2020-09-07,2012
2002740,1000864,2020-09-08,2014
2002741,1000865,2020-09-08,2014
2002742,1000870,2020-09-08,2014
2002743,1000879,2020-09-08,2007
2002744,1000880,2020-09-08,2007
2002745,1000881,2020-09-08,2007
2002748,1000889,2020-09-08,2002
2002750,1000893,2020-09-08,2014
2002757,1002545,2020-09-08,2012
2002788,1002543,2020-09-10,2002
2002793,1000871,2020-09-11,2014
2002794,1000872,2020-09-11,2014
2002795,1000873,2020-09-11,2014
2002804,1000886,2020-09-11,2002
2002816,1002544,2020-09-11,2015
2002819,1000863,2020-09-12,2014
2002820,1000866,2020-09-12,2014
2002822,1000878,2020-09-12,2012
2002833,1000859,2020-09-13,2015
2002848,1000854,2020-09-14,2015
2002852,1000867,2020-09-14,2005
2002854,1000868,2020-09-14,2004
2002855,1000869,2020-09-14,2004
2002862,1002552,2020-09-14,2005
2002879,1002532,2020-09-15,2012
2002890,1002522,2020-09-16,2002
2002891,1002525,2020-09-16,2006
2002892,1002533,2020-09-16,2002
2002893,1002537,2020-09-16,2010
2002894,1002540,2020-09-16,2010
2002895,1002548,2020-09-16,2013
2002896,1002553,2020-09-16,2012
2002897,1000849,2020-09-17,2015
2002898,1000850,2020-09-17,2015
2002899,1000851,2020-09-17,2015
2002900,1000852,2020-09-17,2005
2002902,1000853,2020-09-17,2013
2002914,1002531,2020-09-17,2012
2002915,1002542,2020-09-17,2008
2002917,1002551,2020-09-17,2007
2002920,1000847,2020-09-18,2015
2002921,1000860,2020-09-18,2014
2002922,1000861,2020-09-18,2014
2002937,1000855,2020-09-19,2006
2002938,1000856,2020-09-19,2013
2002940,1000857,2020-09-19,2005
2002941,1000858,2020-09-19,2005
2002951,1002527,2020-09-19,2010
2002952,1002528,2020-09-19,2010
2002954,1002538,2020-09-19,2007
2002955,1002539,2020-09-19,2007
2002956,1002541,2020-09-19,2001
2002961,1000845,2020-09-20,2015
2002966,1000862,2020-09-20,2014
2002970,1002512,2020-09-20,2002
2002971,1002515,2020-09-20,2007
2002972,1002523,2020-09-20,2002
2002974,1002535,2020-09-20,2010
2002987,1002517,2020-09-21,2012
2002988,1002529,2020-09-21,2010
2002992,1000843,2020-09-22,2015
2003012,1002516,2020-09-22,2001
2003013,1002526,2020-09-22,2010
2003030,1002536,2020-09-23,2001
